parentOption,childOption
Abra,Licuan-Baay
Abra,Tineg
Abra,Tubo
Antique,Caluya
Bukidnon,Impasug-Ong
Bukidnon,Lantapan
Bukidnon,Kadingilan
Bukidnon,Libona
Bukidnon,Malitbog
Cebu,Pilar
Cebu,Poro
Cebu,Tudela
Nueva Ecija,Gabaldon (Bitulok & Sabani)
Palawan,Culion
Palawan,Balabac
Palawan,Cagayancillo
Palawan,Agutaya
Palawan,Araceli
Palawan,Magsaysay
Palawan,Linapacan
Palawan,Rizal (Marcos)
Palawan,Cuyo
Palawan,Dumaran
Romblon,Cajidiocan
Romblon,Banton
Romblon,Concepcion
Romblon,Magdiwang
Romblon,San Fernando
Romblon,Corcuera
Romblon,San Jose
Sultan Kudarat,Kalamansig
Sultan Kudarat,Lebak
Zamboanga Del Norte,Sibuco
Zamboanga Sibugay,Mabuhay
Zamboanga Sibugay,Olutanga
Zamboanga Sibugay,Tungawan
Zamboanga Sibugay,Talusan
